City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bolshaya Martynovka,47.271,41.6679,2.01,99,100,4.18,RU,1637688917
Dikson,73.5069,80.5464,-18.47,97,100,6.7,RU,1637688917
Kirakira,-10.4544,161.9205,26.47,82,99,3.86,SB,1637688918
Tiksi,71.6872,128.8694,-29.43,98,83,3.01,RU,1637688647
Sri Aman,1.2376,111.4621,25.05,94,100,0.0,MY,1637688918
Saint-Augustin,51.226,-58.6502,5.18,90,100,10.09,CA,1637688918
Rikitea,-23.1203,-134.9692,24.61,81,3,6.45,PF,1637688919
Lebu,-37.6167,-73.65,16.35,68,0,7.55,CL,1637688919
Poum,-20.2333,164.0167,24.52,82,100,0.69,NC,1637688920
Bandar-e Lengeh,26.5579,54.8807,26.06,73,3,2.06,IR,1637688920
Iwanai,42.9744,140.5089,0.32,81,98,8.91,JP,1637688920
Luwuk,-0.9516,122.7875,25.36,82,46,1.34,ID,1637688921
eMkhomazi,-30.2067,30.7978,19.82,70,88,9.62,ZA,1637688921
Arraial do Cabo,-22.9661,-42.0278,28.98,65,0,6.17,BR,1637688922
Kloulklubed,7.0419,134.2556,25.28,75,84,6.81,PW,1637688922
Thompson,55.7435,-97.8558,-16.91,78,90,2.57,CA,1637688906
Puerto Ayora,-0.7393,-90.3518,24.98,71,17,4.54,EC,1637688923
Rawson,-43.3002,-65.1023,26.7,30,94,14.41,AR,1637688792
East London,-33.0153,27.9116,17.52,67,0,9.26,ZA,1637688923
Fes,34.0372,-4.9998,12.14,100,75,3.09,MA,1637688924
Thunder Bay,48.4001,-89.3168,1.98,84,75,0.0,CA,1637688664
Saskylakh,71.9167,114.0833,-32.27,96,11,4.72,RU,1637688924
Hermanus,-34.4187,19.2345,18.78,74,59,5.01,ZA,1637688925
Port Alfred,-33.5906,26.891,16.76,70,66,8.97,ZA,1637688925
Iqaluit,63.7506,-68.5145,-0.15,93,75,10.28,CA,1637688695
Henties Bay,-22.116,14.2845,14.92,90,6,2.52,NA,1637688926
Lüderitz,-26.6481,15.1594,19.03,70,4,10.48,NA,1637688926
Mataura,-46.1927,168.8643,7.69,95,90,1.14,NZ,1637688926
Nemuro,43.3236,145.575,4.13,66,84,4.65,JP,1637688927
Cape Town,-33.9258,18.4232,19.23,63,20,10.8,ZA,1637688747
Tabuk,17.4189,121.4443,22.72,92,49,2.23,PH,1637688927
Port Elizabeth,-33.918,25.5701,17.28,67,20,4.63,ZA,1637688928
Severo-Kuril'sk,50.6789,156.125,2.9,97,100,11.96,RU,1637688928
Punta Arenas,-53.15,-70.9167,12.06,62,40,11.32,CL,1637688687
Cherskiy,68.75,161.3,-36.5,100,34,2.08,RU,1637688929
Ushuaia,-54.8,-68.3,6.81,61,90,2.57,AR,1637688740
Faanui,-16.4833,-151.75,26.78,72,100,1.57,PF,1637688929
Hasaki,35.7333,140.8333,4.16,62,5,4.4,JP,1637688930
Carnarvon,-24.8667,113.6333,21.04,83,0,6.17,AU,1637688930
Atuona,-9.8,-139.0333,25.13,80,69,6.16,PF,1637688930
Nikolskoye,59.7035,30.7861,-1.45,83,31,2.5,RU,1637688931
Barrow,71.2906,-156.7887,-16.99,71,90,2.57,US,1637688931
Sinnamary,5.3833,-52.95,28.51,72,100,3.92,GF,1637688932
Mahébourg,-20.4081,57.7,25.16,73,40,2.06,MU,1637688932
Yatou,37.15,122.3833,1.84,50,1,3.97,CN,1637688932
Albany,42.6001,-73.9662,3.35,51,6,1.79,US,1637688933
Vaini,-21.2,-175.2,21.09,100,40,0.0,TO,1637688933
Kavaratti,10.5669,72.642,27.73,76,48,5.57,IN,1637688934
Mar del Plata,-38.0023,-57.5575,17.01,77,0,8.05,AR,1637688887
Chokurdakh,70.6333,147.9167,-31.35,99,73,2.73,RU,1637688934
Isangel,-19.55,169.2667,25.01,87,100,3.2,VU,1637688849
Caravelas,-17.7125,-39.2481,26.06,69,85,2.71,BR,1637688936
Naze,28.3667,129.4833,14.69,65,51,5.99,JP,1637688936
Kaitangata,-46.2817,169.8464,8.4,92,62,2.72,NZ,1637688937
Vardø,70.3705,31.1107,-4.89,80,75,1.54,NO,1637688937
Zhengjiatun,43.5064,123.5064,-12.85,81,1,3.92,CN,1637688938
Cabo San Lucas,22.8909,-109.9124,28.06,65,1,3.13,MX,1637688938
Bow Island,49.8668,-111.3684,4.59,58,88,0.0,CA,1637688939
Adrar,20.5022,-10.0711,28.83,25,87,2.48,MR,1637688939
Torbay,47.6666,-52.7314,5.32,85,90,11.32,CA,1637688930
Narsaq,60.9167,-46.05,-5.88,64,91,2.82,GL,1637688940
Bluff,-46.6,168.3333,11.32,81,66,5.32,NZ,1637688940
Yellowknife,62.456,-114.3525,-26.44,95,75,2.24,CA,1637688940
Mehamn,71.0357,27.8492,-3.9,63,0,8.23,NO,1637688941
Qaanaaq,77.484,-69.3632,-21.28,70,93,4.31,GL,1637688941
Kavieng,-2.5744,150.7967,28.22,77,99,7.22,PG,1637688942
Busselton,-33.65,115.3333,12.27,82,0,4.06,AU,1637688942
Hithadhoo,-0.6,73.0833,27.98,75,100,8.03,MV,1637688942
Belmonte,-15.8631,-38.8828,26.28,74,79,3.88,BR,1637688943
Saint Paul Harbor,57.79,-152.4072,-12.27,56,1,2.57,US,1637688943
Pala,9.3642,14.9046,28.37,20,23,2.2,TD,1637688944
Hobart,-42.8794,147.3294,15.92,84,100,0.45,AU,1637688944
Muros,42.7762,-9.0603,12.27,69,45,7.88,ES,1637688944
Hergla,36.0303,10.509,19.33,67,20,3.09,TN,1637688945
Vestmanna,62.1564,-7.1664,7.51,93,90,8.75,FO,1637688945
Chimoio,-19.1164,33.4833,24.19,69,100,2.58,MZ,1637688828
Langcangan,8.4794,123.7558,23.67,95,100,0.37,PH,1637688946
Ribeira Grande,38.5167,-28.7,20.22,94,20,6.17,PT,1637688946
Castro,-24.7911,-50.0119,29.11,34,9,2.07,BR,1637688946
Yoichi,43.2039,140.7703,2.1,75,80,9.99,JP,1637688947
Skierniewice,51.9548,20.1584,4.86,90,100,4.57,PL,1637688947
Tasiilaq,65.6145,-37.6368,-3.91,61,64,3.54,GL,1637688948
Flinders,-34.5833,150.8552,19.0,88,100,0.45,AU,1637688948
Bambous Virieux,-20.3428,57.7575,25.14,73,40,2.06,MU,1637688948
Bonavista,48.6499,-53.1147,5.62,81,99,12.36,CA,1637688949
Singarāyakonda,15.25,80.0333,26.39,81,40,2.35,IN,1637688949
Khatanga,71.9667,102.5,-17.31,80,100,8.37,RU,1637688950
