City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Lithakia,37.7167,20.8333,58.42,100,90,17.27,GR,1637910718
Punta Alta,-38.8759,-62.0736,61.83,85,2,9.75,AR,1637910719
Chokurdakh,70.6333,147.9167,-30.06,100,47,3.38,RU,1637910719
Ushuaia,-54.8,-68.3,38.86,75,20,8.05,AR,1637910488
Port Elizabeth,-33.918,25.5701,68.09,71,55,27.29,ZA,1637910567
Castro,-24.7911,-50.0119,63.91,95,100,5.68,BR,1637910721
Olafsvik,64.8945,-23.7142,31.59,59,50,6.22,IS,1637910722
Beloha,-25.1667,45.05,76.8,37,0,12.06,MG,1637910722
Samarai,-10.6167,150.6667,84.38,73,57,11.92,PG,1637910723
Upernavik,72.7868,-56.1549,23.54,71,100,11.25,GL,1637910723
Beringovskiy,63.05,179.3167,-0.33,95,100,12.24,RU,1637910723
Rikitea,-23.1203,-134.9692,76.14,76,99,10.2,PF,1637910507
Bengkulu,-3.8004,102.2655,85.98,67,25,13.18,ID,1637910650
Hobart,-42.8794,147.3294,57.27,65,20,1.01,AU,1637910724
Avarua,-21.2078,-159.775,78.85,89,15,5.75,CK,1637910725
Hithadhoo,-0.6,73.0833,81.32,70,98,13.35,MV,1637910725
Kedrovyy,56.1667,91.8167,14.41,91,100,10.16,RU,1637910725
Singkang,2.1006,102.7994,84.87,70,100,4.92,MY,1637910726
Cape Town,-33.9258,18.4232,75.61,57,0,9.22,ZA,1637910726
Kailua,21.4022,-157.7394,77.02,72,75,9.22,US,1637910727
Guerrero Negro,27.9769,-114.0611,63.59,55,1,3.44,MX,1637910727
Vanimo,-2.6741,141.3028,83.34,76,75,2.82,PG,1637910728
Mataura,-46.1927,168.8643,48.07,97,100,3.02,NZ,1637910728
Qaanaaq,77.484,-69.3632,5.18,86,100,5.17,GL,1637910728
Araouane,18.9048,-3.5265,73.94,36,90,7.0,ML,1637910729
Butaritari,3.0707,172.7902,82.31,78,79,16.13,KI,1637910729
Narsaq,60.9167,-46.05,37.62,99,100,5.7,GL,1637910730
Guaratinga,-16.5667,-39.5667,66.87,97,97,2.73,BR,1637910730
Busselton,-33.65,115.3333,90.09,42,0,12.73,AU,1637910730
Tuyen Quang,21.8233,105.2181,77.07,51,84,1.5,VN,1637910731
Punta Arenas,-53.15,-70.9167,39.31,75,40,12.66,CL,1637910554
Nikolskoye,59.7035,30.7861,36.88,96,100,12.12,RU,1637910731
Thompson,55.7435,-97.8558,11.28,94,100,8.32,CA,1637910732
Iquique,-20.2208,-70.1431,64.44,66,98,1.3,CL,1637910732
Bluff,-46.6,168.3333,47.62,89,100,15.95,NZ,1637910733
Visnes,59.3556,5.2242,39.22,70,20,18.41,NO,1637910733
Saint George,37.1041,-113.5841,48.34,36,1,0.0,US,1637910733
Yellowknife,62.456,-114.3525,12.42,97,99,13.0,CA,1637910734
Walvis Bay,-22.9575,14.5053,62.1,75,99,6.73,NA,1637910734
Provideniya,64.3833,-173.3,-3.19,81,16,6.91,RU,1637910735
Inuvik,68.3499,-133.7218,-2.54,96,100,13.47,CA,1637910735
Ulaanbaatar,47.9077,106.8832,28.53,50,0,2.24,MN,1637910735
Buchanan,5.8808,-10.0467,78.39,85,21,1.92,LR,1637910736
Cockburn Town,21.4612,-71.1419,77.68,68,13,13.44,TC,1637910712
Saint-Augustin,51.226,-58.6502,43.83,97,100,16.96,CA,1637910736
Lagoa,39.05,-27.9833,61.7,65,100,28.1,PT,1637910737
Barrow,71.2906,-156.7887,-7.58,71,90,11.5,US,1637910737
Albany,42.6001,-73.9662,40.98,91,100,1.07,US,1637910738
Aranda de Duero,41.6704,-3.6892,38.26,83,100,11.23,ES,1637910562
Sinnamary,5.3833,-52.95,77.56,88,88,6.8,GF,1637910738
Dikson,73.5069,80.5464,-11.69,100,94,3.94,RU,1637910739
Inírida,3.8653,-67.9239,70.99,99,89,1.81,CO,1637910740
Pevek,69.7008,170.3133,-20.61,100,100,5.03,RU,1637910741
Sept-Îles,50.2001,-66.3821,36.12,96,90,3.44,CA,1637910741
Mount Isa,-20.7333,139.5,85.77,32,90,12.66,AU,1637910742
Lavrentiya,65.5833,-171.0,-8.61,90,38,9.01,RU,1637910742
Nha Trang,12.25,109.1833,78.8,82,100,11.18,VN,1637910593
Yerofey Pavlovich,53.9667,121.9667,9.16,83,8,2.93,RU,1637910742
Klaksvík,62.2266,-6.589,34.72,67,100,26.42,FO,1637910743
San Patricio,28.017,-97.5169,57.83,55,100,13.47,US,1637910743
Siverek,37.755,39.3167,52.41,79,93,0.58,TR,1637910744
Jilin,43.0,126.0,21.4,76,7,4.54,CN,1637910745
Hermanus,-34.4187,19.2345,69.8,57,5,20.85,ZA,1637910482
Phalombe,-15.8064,35.6507,67.3,89,100,5.73,MW,1637910745
Puerto Ayora,-0.7393,-90.3518,70.56,90,58,8.99,EC,1637910746
Honiara,-9.4333,159.95,81.34,81,44,3.49,SB,1637910746
Katete,-0.7818,29.7544,73.6,67,99,1.52,UG,1637910747
Luanda,-8.8368,13.2343,80.6,78,40,10.36,AO,1637910747
Mayo,38.8876,-76.5119,47.98,92,90,1.01,US,1637910747
Panjakent,39.4952,67.6093,40.8,64,100,3.87,TJ,1637910748
Bridlington,54.0831,-0.1919,45.28,79,100,23.47,GB,1637910748
Merauke,-8.4667,140.3333,85.73,65,100,5.55,ID,1637910749
Labuan,5.2767,115.2417,87.96,76,95,9.57,MY,1637910749
Kaitangata,-46.2817,169.8464,48.6,95,100,7.25,NZ,1637910749
Jamestown,42.097,-79.2353,40.08,96,90,8.01,US,1637910454
Hong Kong,22.2855,114.1577,81.18,51,15,1.01,HK,1637910558
Kashgar,39.4547,75.9797,43.23,30,92,2.08,CN,1637910750
Broken Hill,-31.95,141.4333,73.08,29,0,23.89,AU,1637910751
Vaini,-21.2,-175.2,78.96,94,20,1.14,TO,1637910751
Marsh Harbour,26.5412,-77.0636,72.61,62,93,7.96,BS,1637910752
Healesville,-37.65,145.5167,64.9,73,100,6.71,AU,1637910752
Kapaa,22.0752,-159.319,77.32,77,1,1.01,US,1637910753
Poum,-20.2333,164.0167,79.18,74,8,8.5,NC,1637910753
Riyadh,24.6877,46.7219,77.14,28,0,10.49,SA,1637910575
Cangzhou,38.3167,116.8667,51.96,30,2,6.55,CN,1637910754
Bredasdorp,-34.5322,20.0403,69.28,57,5,26.13,ZA,1637910754
Dubbo,-32.25,148.6167,66.33,82,90,16.11,AU,1637910754
Clyde River,70.4692,-68.5914,-5.4,99,100,2.68,CA,1637910755
Socorro,31.6546,-106.3033,48.45,47,20,3.44,US,1637910755
Catuday,16.2923,119.8062,83.19,69,96,3.96,PH,1637910756
Saint-François,46.4154,3.9054,36.48,92,90,9.22,FR,1637910756
Labuhan,-6.8844,112.2051,84.88,70,100,2.1,ID,1637910757
Hof,50.3167,11.9167,33.46,92,90,3.44,DE,1637910757
Port Alfred,-33.5906,26.891,65.08,78,100,28.41,ZA,1637910757
Mayya,61.7333,130.2811,-17.28,99,24,3.33,RU,1637910758
Marawi,7.9986,124.2928,72.64,94,100,3.47,PH,1637910758
Oranjemund,-28.55,16.4333,66.07,72,2,14.12,NA,1637910759
Kavaratti,10.5669,72.642,82.31,71,100,5.97,IN,1637910759
Beira,-19.8436,34.8389,76.23,70,100,11.86,MZ,1637910759
Ribeira Grande,38.5167,-28.7,63.01,65,25,21.36,PT,1637910760
Khatanga,71.9667,102.5,-6.21,98,100,7.52,RU,1637910760
Eureka,40.8021,-124.1637,47.62,65,100,1.66,US,1637910760
Margate,51.3813,1.3862,41.97,78,100,3.0,GB,1637910761
Chicama,-7.8447,-79.1469,66.36,86,100,4.65,PE,1637910762
Bethel,41.3712,-73.414,46.08,72,90,0.0,US,1637910763
Husavik,66.0449,-17.3389,29.16,62,100,23.78,IS,1637910764
Torbay,47.6666,-52.7314,49.75,99,100,3.0,CA,1637910764
New Norfolk,-42.7826,147.0587,56.91,46,18,3.0,AU,1637910764
Koshurnikovo,54.1667,93.3,17.49,84,100,6.24,RU,1637910765
Río Gallegos,-51.6226,-69.2181,37.45,75,0,8.05,AR,1637910765
Isangel,-19.55,169.2667,79.74,79,66,6.2,VU,1637910766
Arraial do Cabo,-22.9661,-42.0278,71.76,85,100,25.61,BR,1637910767
Hualmay,-11.0964,-77.6139,65.16,90,97,6.69,PE,1637910767
Turek,52.0155,18.5005,36.28,77,100,8.39,PL,1637910768
Cherskiy,68.75,161.3,-32.53,100,83,4.68,RU,1637910768
Imeni Poliny Osipenko,52.4201,136.4853,19.98,90,52,6.31,RU,1637910769
Opuwo,-18.0607,13.84,76.82,10,5,9.98,NA,1637910769
Poso,-1.3959,120.7524,85.55,68,100,3.22,ID,1637910769
Quatre Cocos,-20.2078,57.7625,84.31,60,0,9.15,MU,1637910770
San Quintín,30.4833,-115.95,63.37,37,0,3.65,MX,1637910770
Severo-Kuril'sk,50.6789,156.125,33.55,81,56,8.43,RU,1637910771
Lagos,6.5833,3.75,79.97,85,85,1.07,NG,1637910771
Uppsala County,60.0,17.75,18.91,93,0,2.3,SE,1637910772
Sabha,27.0377,14.4283,66.7,36,0,6.08,LY,1637910772
Naze,28.3667,129.4833,64.02,58,8,10.58,JP,1637910772
Port Shepstone,-30.7414,30.455,63.0,88,100,7.36,ZA,1637910773
Sakakah,29.9697,40.2064,63.34,38,0,5.59,SA,1637910774
Zeya,53.75,127.2667,18.55,69,96,2.68,RU,1637910774
Peleduy,59.6289,112.7406,16.11,93,100,3.27,RU,1637910774
Lorengau,-2.0226,147.2712,84.02,70,91,2.46,PG,1637910775
Padang,-0.9492,100.3543,89.65,63,97,6.2,ID,1637910775
Saint Paul Harbor,57.79,-152.4072,15.31,57,75,4.61,US,1637910593
George Town,5.4112,100.3354,85.93,74,40,6.91,MY,1637910684
Port Blair,11.6667,92.75,83.05,73,58,9.08,IN,1637910776
Divnogorsk,55.9594,92.3619,16.29,88,98,10.65,RU,1637910776
Katy,29.7858,-95.8244,53.78,66,100,1.01,US,1637910572
Aksay,47.26,39.87,34.25,50,6,4.0,RU,1637910777
Ilulissat,69.2167,-51.1,24.82,63,100,3.44,GL,1637910778
